phase,context,init_name,init_mode,partial_init_mode,broyden_iterations,miou,notes
phase1_leave_one_scale,5f,drop_scale2_previous,partial,drop_scale2_previous,2,0.4570,"full_sweep_runner, 26.6 min"
phase1_three_scale,1f,only_scale3_previous,partial,only_low_resolution_previous,2,0.2147,"full_sweep_runner, 10.7 min"
phase1_three_scale,2f,only_scale2_previous,partial,only_scale2_previous,4,0.5037,"full_sweep_runner, 22.5 min"
phase0_global,1f,previous,previous,,4,0.6694,"full_sweep_runner, 16.0 min"
phase1_two_scale,10f,scale0_scale2_previous,partial,scale0_scale2_previous,1,0.0243,"full_sweep_runner, 32.1 min"
phase1_leave_one_scale,5f,drop_scale3_previous,partial,drop_scale3_previous,2,0.4430,"full_sweep_runner, 26.6 min"
phase1_three_scale,2f,only_scale3_previous,partial,only_low_resolution_previous,4,0.4717,"full_sweep_runner, 22.5 min"
phase0_global,1f,zero,zero,,4,0.4233,"full_sweep_runner, 15.9 min"
phase0_global,1f,stale_k2,stale,,4,0.6694,"full_sweep_runner, 15.9 min"
phase1_two_scale,5f,scale0_scale1_previous,partial,fine_previous_coarse_zero,2,0.2610,"full_sweep_runner, 27.1 min"
phase1_two_scale,10f,scale0_scale3_previous,partial,scale0_scale3_previous,1,0.0534,"full_sweep_runner, 32.9 min"
phase1_leave_one_scale,1f,drop_scale0_previous,partial,drop_scale0_previous,4,0.6597,"full_sweep_runner, 16.2 min"
phase1_leave_one_scale,2f,drop_scale2_previous,partial,drop_scale2_previous,8,0.7775,"full_sweep_runner, 39.4 min"
phase1_two_scale,5f,scale0_scale2_previous,partial,scale0_scale2_previous,2,0.2371,"full_sweep_runner, 27.3 min"
phase1_leave_one_scale,1f,drop_scale1_previous,partial,drop_scale1_previous,4,0.5701,"full_sweep_runner, 16.3 min"
phase1_two_scale,10f,scale1_scale2_previous,partial,scale1_scale2_previous,1,0.1518,"full_sweep_runner, 33.0 min"
phase1_leave_one_scale,1f,drop_scale2_previous,partial,drop_scale2_previous,4,0.6265,"full_sweep_runner, 16.2 min"
phase1_two_scale,5f,scale0_scale3_previous,partial,scale0_scale3_previous,2,0.2129,"full_sweep_runner, 27.8 min"
phase1_leave_one_scale,2f,drop_scale3_previous,partial,drop_scale3_previous,8,0.7727,"full_sweep_runner, 39.5 min"
phase1_leave_one_scale,1f,drop_scale3_previous,partial,drop_scale3_previous,4,0.6415,"full_sweep_runner, 16.3 min"
phase1_two_scale,10f,scale1_scale3_previous,partial,scale1_scale3_previous,1,0.1628,"full_sweep_runner, 32.5 min"
phase1_two_scale,1f,scale0_scale1_previous,partial,fine_previous_coarse_zero,4,0.5655,"full_sweep_runner, 16.0 min"
phase1_two_scale,5f,scale1_scale2_previous,partial,scale1_scale2_previous,2,0.4256,"full_sweep_runner, 27.4 min"
phase1_two_scale,1f,scale0_scale2_previous,partial,scale0_scale2_previous,4,0.5259,"full_sweep_runner, 16.1 min"
phase1_two_scale,2f,scale0_scale1_previous,partial,fine_previous_coarse_zero,8,0.7570,"full_sweep_runner, 39.9 min"
phase1_two_scale,10f,scale2_scale3_previous,partial,coarse_previous_fine_zero,1,0.0926,"full_sweep_runner, 32.6 min"
phase1_two_scale,1f,scale0_scale3_previous,partial,scale0_scale3_previous,4,0.4938,"full_sweep_runner, 16.2 min"
phase1_two_scale,5f,scale1_scale3_previous,partial,scale1_scale3_previous,2,0.4335,"full_sweep_runner, 27.4 min"
phase1_two_scale,1f,scale1_scale2_previous,partial,scale1_scale2_previous,4,0.6293,"full_sweep_runner, 16.1 min"
phase1_three_scale,10f,only_scale0_previous,partial,only_high_resolution_previous,1,0.0203,"full_sweep_runner, 32.5 min"
phase1_two_scale,2f,scale0_scale2_previous,partial,scale0_scale2_previous,8,0.7538,"full_sweep_runner, 39.5 min"
phase1_two_scale,5f,scale2_scale3_previous,partial,coarse_previous_fine_zero,2,0.3293,"full_sweep_runner, 27.6 min"
phase1_two_scale,1f,scale1_scale3_previous,partial,scale1_scale3_previous,4,0.6129,"full_sweep_runner, 16.3 min"
phase1_two_scale,1f,scale2_scale3_previous,partial,coarse_previous_fine_zero,4,0.5409,"full_sweep_runner, 16.4 min"
phase1_three_scale,5f,only_scale0_previous,partial,only_high_resolution_previous,2,0.1056,"full_sweep_runner, 27.5 min"
phase1_three_scale,10f,only_scale1_previous,partial,only_scale1_previous,1,0.0946,"full_sweep_runner, 33.2 min"
phase1_three_scale,1f,only_scale0_previous,partial,only_high_resolution_previous,4,0.4385,"full_sweep_runner, 16.3 min"
